
SUMMARY
=======
Min RR, 3.000000
Max RR, 23.000000
Min WinRate, 28.00%
Max WinRate, 31.00%
Final Balance,"21,694,843"
=======

trade_num,outcome,rrr,actual_risk_pct,risk_amount,amount,start_balance,end_balance
224        , Loss     , 1.1  , 1.43             , 153177       , -153177  , 10737901       , 10584724   
225        , Loss     , 1.1  , 1.43             , 150992       , -150992  , 10584724       , 10433732   
226        , Win      , 23.0 , 1.43             , 148838       , 2396292  , 10433732       , 12830024   
227        , Loss     , 1.2  , 1.43             , 183021       , -183021  , 12830024       , 12647003   
228        , Loss     , 1.0  , 1.43             , 180410       , -180410  , 12647003       , 12466593   
229        , Loss     , 1.1  , 1.43             , 177837       , -177837  , 12466593       , 12288756   
230        , Loss     , 1.1  , 1.43             , 175300       , -175300  , 12288756       , 12113456   
231        , Loss     , 1.1  , 1.43             , 172799       , -172799  , 12113456       , 11940657   
232        , Win      , 11.4 , 1.43             , 170334       , 1355688  , 11940657       , 13296345   
233        , Win      , 22.1 , 1.43             , 189673       , 2935569  , 13296345       , 16231914   
234        , Win      , 9.8  , 1.43             , 231549       , 1580322  , 16231914       , 17812236   
235        , Win      , 9.8  , 1.43             , 254093       , 1734185  , 17812236       , 19546421   
236        , Loss     , 1.2  , 1.43             , 278831       , -278831  , 19546421       , 19267590   
237        , Loss     , 1.1  , 1.43             , 274854       , -274854  , 19267590       , 18992736   
238        , Loss     , 1.0  , 1.43             , 270933       , -270933  , 18992736       , 18721803   
239        , Loss     , 1.1  , 1.43             , 267068       , -267068  , 18721803       , 18454735   
240        , Win      , 9.2  , 1.43             , 263258       , 1700910  , 18454735       , 20155645   
241        , Win      , 9.6  , 1.43             , 287522       , 1928122  , 20155645       , 22083767   
242        , Loss     , 1.1  , 1.43             , 315027       , -315027  , 22083767       , 21768740   
243        , Loss     , 1.2  , 1.43             , 310533       , -310533  , 21768740       , 21458207   
244        , Loss     , 1.2  , 1.43             , 306103       , -306103  , 21458207       , 21152104   
245        , Loss     , 1.1  , 1.43             , 301736       , -301736  , 21152104       , 20850368   
246        , Loss     , 1.1  , 1.43             , 297432       , -297432  , 20850368       , 20552936   
247        , Loss     , 1.2  , 1.43             , 293189       , -293189  , 20552936       , 20259747   
248        , Loss     , 1.0  , 1.43             , 289007       , -289007  , 20259747       , 19970740   
249        , Win      , 10.2 , 1.43             , 284884       , 2038060  , 19970740       , 22008800   
250        , Loss     , 1.0  , 1.43             , 313957       , -313957  , 22008800       , 21694843   
